"","playerID","yearID","stint","teamID","lgID","POS","G","GS","InnOuts","PO","A","E","DP","PB","WP","SB","CS","ZR"
"561","skopejo01",1901,1,"CHA","AL","P",9,0,0,3,32,3,1,0,0,0,0,0
"562","slaglji01",1901,1,"PHI","NL","OF",48,0,0,108,12,9,3,0,0,0,0,0
"563","slaglji01",1901,2,"BSN","NL","OF",66,0,0,89,11,7,3,0,0,0,0,0
"564","slattja01",1901,1,"BOS","AL","C",1,0,0,3,2,0,0,0,0,0,0,0
"565","smithal01",1901,1,"NY1","NL","C",24,0,0,106,22,5,2,14,0,0,0,0
"566","smithel01",1901,1,"PIT","NL","OF",1,0,0,2,0,0,0,0,0,0,0,0
"567","smithel01",1901,2,"BSN","NL","OF",15,0,0,19,1,4,0,0,0,0,0,0
"568","smithha03",1901,1,"PHA","AL","C",9,0,0,21,10,1,0,1,0,0,0,0
"569","smithha03",1901,1,"PHA","AL","OF",1,0,0,0,0,2,0,0,0,0,0,0
"570","smithhe01",1901,1,"NY1","NL","2B",7,0,0,13,18,1,0,0,0,0,0,0
"571","smithhe01",1901,1,"NY1","NL","P",2,0,0,0,2,0,0,0,0,0,0,0
"572","smithju01",1901,1,"PIT","NL","3B",6,0,0,7,11,1,0,0,0,0,0,0
"573","snodgch01",1901,1,"BLA","AL","OF",2,0,0,3,0,3,0,0,0,0,0,0
"574","sparktu01",1901,1,"MLA","AL","P",29,0,0,6,60,8,1,0,0,0,0,0
"575","stahlch01",1901,1,"BOS","AL","OF",131,0,0,277,12,13,3,0,0,0,0,0
"576","steelfa01",1901,1,"BRO","NL","C",1,0,0,4,3,1,0,0,0,0,0,0
"577","steelfa01",1901,2,"PHA","AL","C",14,0,0,52,24,0,1,0,0,0,0,0
"578","steelfa01",1901,2,"PHA","AL","OF",12,0,0,10,2,0,1,0,0,0,0,0
"579","steinha01",1901,1,"CIN","NL","2B",50,0,0,138,142,18,23,0,0,0,0,0
"580","steinha01",1901,1,"CIN","NL","3B",55,0,0,60,127,24,5,0,0,0,0,0
"581","stimmar01",1901,1,"CIN","NL","OF",2,0,0,4,0,0,0,0,0,0,0,0
"582","stimmar01",1901,1,"CIN","NL","P",20,0,0,2,28,2,2,0,0,0,0,0
"583","stransa01",1901,1,"NY1","NL","2B",37,0,0,54,104,11,10,0,0,0,0,0
"584","stransa01",1901,1,"NY1","NL","3B",91,0,0,127,194,45,16,0,0,0,0,0
"585","stransa01",1901,1,"NY1","NL","OF",5,0,0,2,0,2,0,0,0,0,0,0
"586","stransa01",1901,1,"NY1","NL","SS",4,0,0,6,6,2,1,0,0,0,0,0
"587","sudhowi01",1901,1,"SLN","NL","P",38,0,0,14,84,5,4,0,0,0,0,0
"588","sugdejo01",1901,1,"CHA","AL","1B",5,0,0,21,2,0,0,0,0,0,0,0
"589","sugdejo01",1901,1,"CHA","AL","C",42,0,0,179,47,7,4,10,0,0,0,0
"590","sullibi03",1901,1,"CHA","AL","3B",1,0,0,0,0,2,0,0,0,0,0,0
"591","sullibi03",1901,1,"CHA","AL","C",97,0,0,396,104,17,13,13,0,0,0,0
"592","sutthja01",1901,1,"CIN","NL","OF",1,0,0,2,0,0,0,0,0,0,0,0
"593","sutthja01",1901,1,"CIN","NL","P",10,0,0,4,15,5,0,0,0,0,0,0
"594","swormle01",1901,1,"CIN","NL","P",3,0,0,2,6,0,0,0,0,0,0,0
"595","tanneje01",1901,1,"PIT","NL","OF",10,0,0,18,3,2,1,0,0,0,0,0
"596","tanneje01",1901,1,"PIT","NL","P",32,0,0,5,50,5,0,0,0,0,0,0
"597","taylodu01",1901,1,"NY1","NL","P",45,0,0,19,92,6,2,0,0,0,0,0
"598","tayloja02",1901,1,"CHN","NL","P",33,0,0,24,78,6,3,0,0,0,0,0
"599","tennefr02",1901,1,"BSN","NL","1B",113,0,0,1059,86,28,58,0,0,0,0,0
"600","tennefr02",1901,1,"BSN","NL","C",2,0,0,10,2,1,0,0,0,0,0,0
"601","thomaro01",1901,1,"PHI","NL","OF",129,0,0,283,9,10,2,0,0,0,0,0
"602","townsha01",1901,1,"PHI","NL","OF",1,0,0,0,0,0,0,0,0,0,0,0
"603","townsha01",1901,1,"PHI","NL","P",19,0,0,5,25,3,2,0,0,0,0,0
"604","turnete01",1901,1,"PIT","NL","3B",2,0,0,3,7,2,0,0,0,0,0,0
"605","vanhage01",1901,1,"NY1","NL","OF",135,0,0,263,23,18,5,0,0,0,0,0
"606","vanhage01",1901,1,"NY1","NL","P",1,0,0,0,4,0,0,0,0,0,0,0
"607","vanzaik01",1901,1,"NY1","NL","OF",1,0,0,0,0,1,0,0,0,0,0,0
"608","vanzaik01",1901,1,"NY1","NL","P",2,0,0,1,0,2,0,0,0,0,0,0
"609","volzja01",1901,1,"BOS","AL","P",1,0,0,0,0,2,0,0,0,0,0,0
"610","wadderu01",1901,1,"PIT","NL","P",2,0,0,0,4,1,0,0,0,0,0,0
"611","wadderu01",1901,2,"CHN","NL","1B",1,0,0,6,0,0,1,0,0,0,0,0
"612","wadderu01",1901,2,"CHN","NL","P",29,0,0,32,62,4,0,0,0,0,0,0
"613","wagneho01",1901,1,"PIT","NL","2B",1,0,0,4,4,0,0,0,0,0,0,0
"614","wagneho01",1901,1,"PIT","NL","3B",24,0,0,37,50,10,3,0,0,0,0,0
"615","wagneho01",1901,1,"PIT","NL","OF",54,0,0,79,2,2,0,0,0,0,0,0
"616","wagneho01",1901,1,"PIT","NL","SS",61,0,0,177,224,36,31,0,0,0,0,0
"617","waldrir01",1901,1,"MLA","AL","OF",62,0,0,97,9,14,0,0,0,0,0,0
"618","waldrir01",1901,2,"WS1","AL","OF",78,0,0,140,7,7,0,0,0,0,0,0
"619","wallabo01",1901,1,"SLN","NL","SS",134,0,0,326,542,66,67,0,0,0,0,0
"620","walljo01",1901,1,"NY1","NL","C",2,0,0,3,0,0,0,0,0,0,0,0
"621","walljo01",1901,1,"NY1","NL","OF",1,0,0,0,0,0,0,0,0,0,0,0
"622","warnejo01",1901,1,"NY1","NL","C",84,0,0,361,107,16,11,13,0,0,0,0
"623","weyhigu01",1901,1,"CLE","AL","P",2,0,0,0,3,0,0,0,0,0,0,0
"624","weyhigu01",1901,2,"CIN","NL","P",1,0,0,0,1,0,0,0,0,0,0,0
"625","whitedo01",1901,1,"PHI","NL","OF",1,0,0,1,0,0,0,0,0,0,0,0
"626","whitedo01",1901,1,"PHI","NL","P",31,0,0,6,72,4,0,0,0,0,0,0
"627","wickebo01",1901,1,"SLN","NL","OF",1,0,0,1,0,0,0,0,0,0,0,0
"628","wickebo01",1901,1,"SLN","NL","P",1,0,0,0,0,0,0,0,0,0,0,0
"629","williji01",1901,1,"BLA","AL","2B",130,0,0,339,412,52,47,0,0,0,0,0
"630","willivi01",1901,1,"BSN","NL","P",38,0,0,22,66,3,2,0,0,0,0,0
"631","wiltssn01",1901,1,"PIT","NL","P",7,0,0,1,17,0,0,0,0,0,0,0
"632","wiltssn01",1901,2,"PHA","AL","P",19,0,0,10,51,6,2,0,0,0,0,0
"633","wintege01",1901,1,"BOS","AL","P",28,0,0,15,64,8,4,0,0,0,0,0
"634","wolveha01",1901,1,"PHI","NL","3B",93,0,0,114,190,26,9,0,0,0,0,0
"635","woodbo01",1901,1,"CLE","AL","1B",1,0,0,9,0,0,0,0,0,0,0,0
"636","woodbo01",1901,1,"CLE","AL","2B",1,0,0,0,1,0,0,0,0,0,0,0
"637","woodbo01",1901,1,"CLE","AL","3B",4,0,0,6,12,2,1,0,0,0,0,0
"638","woodbo01",1901,1,"CLE","AL","C",84,0,0,307,106,21,11,17,0,0,0,0
