"","yearID","teamID","name","AB","H","2B","3B","HR","R","SB","BA","OBP","OPS","SLG","wOBA"
"377",2013,"ATL","Atlanta Braves",5441,1354,247,21,181,688,64,0.2489,0.3213,0.723,0.4018,0.320349744771941
"378",2013,"CHN","Chicago Cubs",5563,1385,237,19,148,598,105,0.249,0.3022,0.6804,0.3782,0.300882595772787
"379",2013,"CIN","Cincinnati Reds",5499,1370,274,20,155,698,67,0.2491,0.3273,0.7181,0.3908,0.319464872703835
"380",2013,"COL","Colorado Rockies",5599,1511,283,36,159,706,112,0.2699,0.3227,0.7411,0.4185,0.325716116313455
"381",2013,"LAN","Los Angeles Dodgers",5491,1447,281,17,138,649,78,0.2635,0.3261,0.7224,0.3963,0.319816040843215
"382",2013,"MIA","Miami Marlins",5449,1257,219,31,95,513,78,0.2307,0.2926,0.6272,0.3346,0.281134999161496
"383",2013,"MIL","Milwaukee Brewers",5474,1381,238,43,157,640,142,0.2523,0.3105,0.708,0.3975,0.312563721396359
"384",2013,"NYN","New York Mets",5559,1318,263,32,130,619,114,0.2371,0.3057,0.6717,0.3661,0.299350178745531
"385",2013,"PHI","Philadelphia Phillies",5456,1355,255,32,140,610,73,0.2484,0.3064,0.6902,0.3838,0.305525768004029
"386",2013,"PIT","Pittsburgh Pirates",5486,1345,273,35,161,634,94,0.2452,0.3132,0.709,0.3957,0.314037878787879
"387",2013,"SDN","San Diego Padres",5517,1349,246,26,146,618,118,0.2445,0.3077,0.6857,0.3779,0.304436573311367
"388",2013,"SFN","San Francisco Giants",5552,1446,280,35,107,629,67,0.2604,0.3202,0.7015,0.3813,0.311099147820387
"389",2013,"SLN","St. Louis Cardinals",5557,1494,322,20,125,783,45,0.2689,0.3318,0.7332,0.4015,0.324484380084608
"390",2013,"WAS","Washington Nationals",5436,1365,259,27,161,656,88,0.2511,0.3126,0.7101,0.3975,0.313648770697441
